athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,headshot_url,season
158217,Brad,Tredway,Sacramento State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158217.png,2004
158238,Keon,Raymond,Middle Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158238.png,2004
158250,Jarrett,Bush,Utah State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158250.png,2004
158254,Chris,Forbes,Utah State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158254.png,2004
158273,Dashon,Goldson,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158273.png,2004
158301,Kevett,Mickle,Illinois State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158301.png,2004
158365,Jordan,Campanella,Eastern Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158365.png,2004
158421,Cleannord,Saintil,Middle Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158421.png,2004
158428,Arkee,Whitlock,Southern Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158428.png,2004
158464,Mike,Haley,Southeast Missouri State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158464.png,2004
158473,Luke,Frazier,Oklahoma State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158473.png,2004
158479,Prentiss,Elliott,Oklahoma State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158479.png,2004
158484,Jason,Ricks,Oklahoma State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158484.png,2004
158503,Brian,Barmann,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158503.png,2004
158508,Roy,Polite,Middle Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158508.png,2004
158511,Will,Franklin,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158511.png,2004
158535,Tony,Temple,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158535.png,2004
158563,Ashlan,Davis,Tulsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/158563.png,2004
